run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,control_owd_ms,control_pdv_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,heavy_mbps
normal_i0_r1,normal,0,1,2,0.14792555588615985,0.08801306850817264,1311,0.6551724137931034,1.0,0.0,0.2878253241800153,0.1229908466819222,1.3839126620900077,0.0614954233409611,0.059912487377987204,normal,normal,0
normal_i0_r2,normal,0,2,3,0.15032729445438467,0.09563562728318051,1188,0.6027397260273972,1.0,0.0,0.2900412457912458,0.10587289562289562,1.1054275407600058,0.1513042005017495,0.048665679134562774,normal,normal,0
normal_i0_r3,normal,0,3,3,0.16308014639162005,0.09279362179672193,1281,0.5741819811743613,1.0,0.0,0.27897423887587824,0.0853231850117096,0.9987081254975099,0.05268272833723653,0.0570252222782444,normal,normal,0
normal_i8_r1,normal,8,1,3,5.434505910291048,5.286584845582998,8822,0.8151159567587545,1.0,0.0004619791185438418,0.471771167048055,0.277115179252479,1.2565897841239537,0.16262956166001694,0.059912487377987204,normal,normal,8
normal_i8_r2,normal,8,2,4,5.717543663173335,5.567216822329047,9668,0.8306555546009108,1.0,0.0005155082051722657,0.5637962962962962,0.458489898989899,2.0777101197012535,1.6057469420359427,0.048665679134562774,normal,normal,8
normal_i8_r3,normal,8,3,4,5.054528492474839,4.891455770925727,8521,0.7925037202380952,1.0,0.00018601190476190475,0.527943793911007,0.351160031225605,1.069371628671973,0.23860042197439063,0.0570252222782444,normal,normal,8
normal_i15_r1,normal,15,1,3,9.99724374726424,9.849521585848779,16542,0.8920886587930755,0.9977116704805492,0.006255729925039098,2.1063990825688075,1.592737003058104,2.6015775057829233,0.7125003798819485,0.059912487377987204,normal,normal,15
normal_i15_r2,normal,15,2,4,10.588177455809014,10.437835054086108,18127,0.9019305403522738,1.0,0.000646830530401035,1.7914898989898989,1.435050505050505,3.485607010752449,3.2092247038561674,0.048665679134562774,normal,normal,15
normal_i15_r3,normal,15,3,4,9.332543293665248,9.169503774479178,15977,0.8774714411247804,1.0,0.0003295254833040422,2.141982825917252,1.5562217017954723,2.286219371791943,0.8850060999730737,0.0570252222782444,normal,normal,15
normal_i20_r1,normal,20,1,3,13.050683184774057,12.903088312371374,22056,0.9168225464521761,0.9969488939740656,0.022197281456540714,17.155011476664118,5.368576893649578,9.176178529014088,1.9892422529762586,0.059912487377987204,normal,normal,20
normal_i20_r2,normal,20,2,4,13.748134854710619,13.602222287365958,24170,0.9246012011782258,0.9646464646464646,0.023870548181018324,13.861256544502616,6.6075392670157065,22.98196594000926,11.167646659007767,0.048665679134562774,normal,normal,20
normal_i20_r3,normal,20,3,4,11.649518638486642,11.491119277355539,21303,0.9052009858077675,0.9578454332552693,0.05821364833857398,22.16748166259169,7.025778321108395,15.307495882640426,5.143519898205249,0.0570252222782444,normal,normal,20
normal_i25_r1,normal,25,1,3,13.654104106457071,13.517148962643718,27570,0.9323323526427919,0.8756674294431731,0.1742247472185587,60.10905923344948,8.509102787456445,37.42222143321853,3.043811907408204,0.059912487377987204,normal,normal,25
normal_i25_r2,normal,25,2,4,14.163046913729096,14.027135770897788,30212,0.9387564863437219,0.8661616161616161,0.18848460367274647,65.64771622934889,12.224975704567541,53.99304278286521,19.629442406230496,0.048665679134562774,normal,normal,25
normal_i25_r3,normal,25,3,4,10.273275286578174,10.12706156702822,26629,0.9226957726957727,0.8430913348946136,0.3186070686070686,40.03592592592592,8.207675925925926,31.137922597599985,5.247393817361751,0.0570252222782444,normal,normal,25
normal_i30_r1,normal,30,1,3,13.188554687532386,13.060867032545863,33085,0.9429687054665679,0.7711670480549199,0.32964715271048284,60.647279920870425,9.621730959446092,53.159847237017765,3.4375612662382067,0.059912487377987204,normal,normal,30
