run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,control_owd_ms,control_pdv_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary
normal_i0_r1,normal,0,1,3,12.620696349119207,12.472837927533968,21554,0.9150498832519635,0.9992372234935164,0.015453194650817237,11.486870229007634,4.143351145038168,6.842998553204989,1.578095325287525,0.059912487377987204,normal,normal
normal_i0_r2,normal,0,2,4,13.735589683286474,13.587683775986974,26647,0.9311272625620239,0.9781144781144782,0.020616395275700607,18.801376936316696,7.0636746987951815,12.669756670707912,7.984208933881799,0.048665679134562774,normal,normal
normal_i0_r3,normal,0,3,4,10.457453686609764,10.29443661959489,17441,0.8865900772671818,0.9992193598750976,0.004270028466856445,6.7658203125,3.411,4.803320557293386,1.873120944734166,0.0570252222782444,normal,normal
normal_i0_r4,normal,0,4,5,13.535850304393824,13.361286233394889,29921,0.9152392022513153,0.8963650425367363,0.14755903584974916,36.871958584987055,8.888869715271785,26.062738458728894,8.22543324146227,0.04189795966267001,normal,normal
normal_i0_r5,normal,0,5,7,10.60438847427662,10.372841262856602,18170,0.8422174840085288,0.999407231772377,0.01575971076295541,8.116666666666665,2.5208481613285882,6.644343658795685,3.977583862899929,0.042459291043426904,normal,normal
normal_i0_r6,normal,0,6,3,10.060643264342422,9.927068045292094,18613,0.9055658266030943,1.0,0.0009730466089325679,2.783770131771596,1.9284626647144947,2.833668263325432,0.8377974923364815,0.04411195010891447,normal,normal
normal_i0_r7,normal,0,7,6,11.030046549979078,10.855223527842474,17015,0.8692653519975477,0.9984996249062266,0.08286502503320732,3.4717580766341096,2.290473328324568,4.195428253865355,3.089949945201893,0.05050514510340986,normal,normal
normal_i0_r8,normal,0,8,4,12.905645614521113,12.753204712243164,22656,0.922137653140136,0.9720216606498195,0.06455289185559038,10.1338904363974,5.28602599814299,16.92024793237521,9.509788688341912,0.05845268976232458,normal,normal
normal_i0_r9,normal,0,9,7,9.789021839914737,9.55209826773824,17849,0.8247389335551243,0.9971181556195965,0.0014323999630348396,2.778271676300578,1.8698959537572253,3.46676848884726,2.6638309217892675,0.04943655657213707,normal,normal
normal_i0_r10,normal,0,10,6,11.783847215330102,11.608923705516512,27507,0.9043298155636651,0.9144927536231884,0.18190485583719632,18.993660855784466,6.295697305863709,18.82901110245894,12.050345640864707,0.06829022855058565,normal,normal
normal_i0_r11,normal,0,11,7,10.369088658021765,10.180561592743826,18535,0.8679466167173964,0.9358460304731355,0.13383282603605712,47.46743787489289,9.26229648671808,23.98348659701434,11.370001678761259,0.040981753031014624,normal,normal
normal_i0_r12,normal,0,12,7,11.839265282954228,11.616666820318981,24290,0.8733954190787818,0.9367301231802911,0.11761533206285282,28.714046622833237,5.690161386730424,26.80679722361717,12.893047043559665,0.046786709754157677,normal,normal
normal_i0_r13,normal,0,13,7,12.439477880012946,12.252009530503377,22188,0.8887998718154142,0.9554730983302412,0.08019548149335043,27.760873786407764,8.465184466019416,19.64335563935111,8.356250497091814,0.050171423235577293,normal,normal
normal_i0_r14,normal,0,14,5,11.865676130756203,11.684086963985958,20709,0.8823604601619088,0.973505853357979,0.04341712824882829,20.995379746835443,5.276481012658228,9.62788892041116,3.6967190924160698,0.0579617619403525,normal,normal
normal_i0_r15,normal,0,15,3,14.303315617191865,14.17180987245855,22883,0.9261747682842919,0.9567847882454624,0.07819646254098028,28.078952122854563,7.282023486901535,16.808936577753926,2.6538541854898834,0.04567336792177127,normal,normal
