run_id,scenario,intensity,run,flowId,role,src,dst,dst_port,tx,rx,lost,rx_bytes,t_first_tx,t_last_rx,throughput_mbps,owd_ms,pdv_ms
ddos_i3.0_r4,ddos,3.0,4,4,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5586760416636009,0.6619890760127447,0.6389076012744652
ddos_i3.0_r4,ddos,3.0,4,5,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i3.0_r5,ddos,3.0,5,1,flood,192.168.1.11,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9908,0.8422767257831292,2.180727586206897,1.0532068965517243
ddos_i3.0_r5,ddos,3.0,5,2,flood,192.168.1.12,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9929,0.8419568154918067,2.0771172413793106,1.1548724137931035
ddos_i3.0_r5,ddos,3.0,5,3,flood,192.168.1.13,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9918,0.8429548318866978,2.1891931034482757,1.1351206896551724
ddos_i3.0_r5,ddos,3.0,5,4,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5588168276695299,0.6440600819299044,0.6194902139280837
ddos_i3.0_r5,ddos,3.0,5,5,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i5.0_r1,ddos,5.0,1,1,flood,192.168.1.11,192.168.1.1,9,2900,2802,98,2947704,1.0,29.9929,0.8426944200551681,4.257423269093504,2.475146324054247
ddos_i5.0_r1,ddos,5.0,1,2,flood,192.168.1.12,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9911,0.8420733032704589,3.2905689655172417,1.7647689655172414
ddos_i5.0_r1,ddos,5.0,1,3,flood,192.168.1.13,192.168.1.1,9,2900,2875,25,3024500,1.0,29.9952,0.8384730060622609,3.643478260869565,2.101384347826087
ddos_i5.0_r1,ddos,5.0,1,4,flood,192.168.1.14,192.168.1.1,9,2900,2874,26,3023448,1.0,29.993,0.8381903675757384,3.3736464857341684,1.5762978427279055
ddos_i5.0_r1,ddos,5.0,1,5,flood,192.168.1.15,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9932,0.8419783095646077,3.368993103448276,1.6908999999999998
ddos_i5.0_r1,ddos,5.0,1,6,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5591503260272745,1.103272644515248,1.1951661356395085
ddos_i5.0_r1,ddos,5.0,1,7,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i5.0_r2,ddos,5.0,2,1,flood,192.168.1.11,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9935,0.8421578569804341,3.755620689655172,2.194393103448276
ddos_i5.0_r2,ddos,5.0,2,2,flood,192.168.1.12,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9937,0.8418946631320962,3.7302758620689658,2.0086
ddos_i5.0_r2,ddos,5.0,2,3,flood,192.168.1.13,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9934,0.8419980618423399,4.58996551724138,2.5915172413793104
ddos_i5.0_r2,ddos,5.0,2,4,flood,192.168.1.14,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9918,0.8422171418711987,3.9510000000000005,2.157010344827586
ddos_i5.0_r2,ddos,5.0,2,5,flood,192.168.1.15,192.168.1.1,9,2900,2875,25,3024500,1.0,29.9909,0.8385415836361708,3.7392,2.021944347826087
ddos_i5.0_r2,ddos,5.0,2,6,pump,192.168.1.3,192.168.1.1,8080,2197,2196,1,1185840,3.0041,19.9992,0.5592750609726262,1.348670309653916,1.3678825136612023
ddos_i5.0_r2,ddos,5.0,2,7,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i5.0_r3,ddos,5.0,3,1,flood,192.168.1.11,192.168.1.1,9,2900,2872,28,3021344,1.0,29.9914,0.8419705608596542,4.588892757660167,2.4674129526462396
ddos_i5.0_r3,ddos,5.0,3,2,flood,192.168.1.12,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9936,0.8418513942439363,4.3389655172413795,2.3420965517241377
ddos_i5.0_r3,ddos,5.0,3,3,flood,192.168.1.13,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9938,0.8421113648667345,4.270862068965518,2.1851344827586208
ddos_i5.0_r3,ddos,5.0,3,4,flood,192.168.1.14,192.168.1.1,9,2900,2872,28,3021344,1.0,29.9939,0.8432062609518342,4.316991643454039,2.1668314763231193
ddos_i5.0_r3,ddos,5.0,3,5,flood,192.168.1.15,192.168.1.1,9,2900,2872,28,3021344,1.0,29.9935,0.8422029140638283,4.442792479108635,2.101009749303621
ddos_i5.0_r3,ddos,5.0,3,6,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5589833624966208,1.566772872098316,1.6107237141556667
ddos_i5.0_r3,ddos,5.0,3,7,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i5.0_r4,ddos,5.0,4,1,flood,192.168.1.11,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9925,0.8429350346946042,3.2530862068965516,1.9459862068965519
ddos_i5.0_r4,ddos,5.0,4,2,flood,192.168.1.12,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9924,0.8419013426184959,3.4640689655172414,1.8327344827586207
ddos_i5.0_r4,ddos,5.0,4,3,flood,192.168.1.13,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9911,0.84263353361347,3.3047965517241376,1.7522689655172412
ddos_i5.0_r4,ddos,5.0,4,4,flood,192.168.1.14,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9942,0.8419820856637011,3.3921965517241377,1.7267551724137933
ddos_i5.0_r4,ddos,5.0,4,5,flood,192.168.1.15,192.168.1.1,9,2900,2875,25,3024500,1.0,29.9953,0.8384651610379144,3.3541391304347825,1.722921739130435
ddos_i5.0_r4,ddos,5.0,4,6,pump,192.168.1.3,192.168.1.1,8080,2197,2196,1,1185840,3.0041,19.9992,0.5587065564415108,1.1297540983606558,1.29893897996357
ddos_i5.0_r4,ddos,5.0,4,7,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i5.0_r5,ddos,5.0,5,1,flood,192.168.1.11,192.168.1.1,9,2900,2872,28,3021344,1.0,29.9937,0.8420729330226203,3.1162360724233986,1.9498224233983288
ddos_i5.0_r5,ddos,5.0,5,2,flood,192.168.1.12,192.168.1.1,9,2900,2823,77,2969796,1.0,29.9936,0.8422671304653633,3.065001771165427,1.7420616365568544
