run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,control_owd_ms,control_pdv_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary
normal_i0.0_r1,normal,0.0,1,2,0.861890108227501,0.5589474800061249,2197,0.5235938989513823,1.0,0.0,0.34791306326809285,0.043497360036413295,1.555289698217338,0.021748680018206647,0.30294262822137613,normal,normal
normal_i0.0_r2,normal,0.0,2,2,0.8617801850558171,0.5588375568344409,2197,0.5235938989513823,1.0,0.0,0.33812243969048705,0.03441834319526627,1.5503943864285352,0.017209171597633136,0.30294262822137613,normal,normal
normal_i0.0_r3,normal,0.0,3,2,0.8616870803909686,0.5587444521695925,2197,0.5235938989513823,1.0,0.0,0.33264269458352297,0.031473236231224395,1.5476545138750533,0.015736618115612198,0.30294262822137613,normal,normal
normal_i0.0_r4,normal,0.0,4,2,0.8618255971723223,0.5588829689509462,2197,0.5235938989513823,1.0,0.0,0.3451779699590351,0.045336595357305415,1.5539221515628092,0.022668297678652707,0.30294262822137613,normal,normal
normal_i0.0_r5,normal,0.0,5,2,0.861787424174111,0.5588447959527348,2197,0.5235938989513823,1.0,0.0,0.343016385980883,0.042887847064178426,1.5528413595737334,0.021443923532089213,0.30294262822137613,normal,normal
normal_i0.0_r6,normal,0.0,6,2,0.861542056852669,0.558599428631293,2197,0.5235938989513823,1.0,0.0,0.33833318161128817,0.04483418297678653,1.5504997573889359,0.022417091488393263,0.30294262822137613,normal,normal
normal_i0.0_r7,normal,0.0,7,2,0.8618374450252484,0.5588948168038723,2197,0.5235938989513823,1.0,0.0,0.33950842057350933,0.03459918070095584,1.5510873768700464,0.01729959035047792,0.30294262822137613,normal,normal
normal_i0.0_r8,normal,0.0,8,2,0.8617617590555093,0.5588191308341331,2197,0.5235938989513823,1.0,0.0,0.342279016841147,0.0429659080564406,1.5524726750038653,0.0214829540282203,0.30294262822137613,normal,normal
normal_i0.0_r9,normal,0.0,9,2,0.8615072098087735,0.5585645815873973,2197,0.5235938989513823,1.0,0.0,0.3321406463359126,0.03027592171142467,1.547403489751248,0.015137960855712335,0.30294262822137613,normal,normal
normal_i0.0_r10,normal,0.0,10,2,0.8617851207979466,0.5588424925765704,2197,0.5235938989513823,1.0,0.0,0.3406090122894857,0.04085393718707329,1.5516376727280345,0.020426968593536644,0.30294262822137613,normal,normal
normal_i0.0_r11,normal,0.0,11,2,0.8614529754190383,0.5585103471976622,2197,0.5235938989513823,1.0,0.0,0.32985844333181613,0.03287624032771962,1.5462623882492,0.01643812016385981,0.30294262822137613,normal,normal
normal_i0.0_r12,normal,0.0,12,2,0.861704843550271,0.5587622153288948,2197,0.5235938989513823,1.0,0.0,0.33665680473372783,0.03889863450159308,1.5496615689501556,0.01944931725079654,0.30294262822137613,normal,normal
normal_i0.0_r13,normal,0.0,13,2,0.8617824883912943,0.5588398601699183,2197,0.5235938989513823,1.0,0.0,0.34946882111970873,0.05225853436504324,1.556067577143146,0.02612926718252162,0.30294262822137613,normal,normal
normal_i0.0_r14,normal,0.0,14,2,0.8615308790253255,0.5585882508039495,2197,0.5235938989513823,1.0,0.0,0.3318975876194811,0.03122567137005007,1.5472819603930323,0.015612835685025035,0.30294262822137613,normal,normal
normal_i0.0_r15,normal,0.0,15,2,0.8618015739014107,0.5588589456800345,2197,0.5235938989513823,1.0,0.0,0.3491470186618115,0.055172507965407375,1.5559066759141975,0.027586253982703687,0.30294262822137613,normal,normal
normal_i0.0_r16,normal,0.0,16,2,0.861495704664142,0.5585530764427659,2197,0.5235938989513823,1.0,0.0,0.3332098315885298,0.038054802002730995,1.5479380823775566,0.019027401001365497,0.30294262822137613,normal,normal
normal_i0.0_r17,normal,0.0,17,2,0.8618173697922134,0.5588747415708372,2197,0.5235938989513823,1.0,0.0,0.3453381884387802,0.044918388711879836,1.5540022608026818,0.022459194355939918,0.30294262822137613,normal,normal
normal_i0.0_r18,normal,0.0,18,2,0.861668660529745,0.5587260323083689,2197,0.5235938989513823,1.0,0.0,0.34057988165680475,0.04662949476558944,1.5516231074116942,0.02331474738279472,0.30294262822137613,normal,normal
normal_i0.0_r19,normal,0.0,19,2,0.8614740105380565,0.5585313823166804,2197,0.5235938989513823,1.0,0.0,0.32899954483386434,0.0302664087391898,1.545832939000224,0.0151332043695949,0.30294262822137613,normal,normal
normal_i0.0_r20,normal,0.0,20,2,0.8614625067610273,0.5585198785396511,2197,0.5235938989513823,1.0,0.0,0.3379412835685025,0.046560309512972235,1.5503038083675431,0.023280154756486118,0.30294262822137613,normal,normal
normal_i0.0_r21,normal,0.0,21,2,0.8617110938193755,0.5587684655979994,2197,0.5235938989513823,1.0,0.0,0.34412016385980887,0.04949977241693218,1.5533932485131963,0.02474988620846609,0.30294262822137613,normal,normal
normal_i0.0_r22,normal,0.0,22,2,0.861713067617617,0.5587704393962408,2197,0.5235938989513823,1.0,0.0,0.33868138370505235,0.03972612653618571,1.550673858435818,0.019863063268092854,0.30294262822137613,normal,normal
normal_i0.0_r23,normal,0.0,23,2,0.8616874093280995,0.5587447811067233,2197,0.5235938989513823,1.0,0.0,0.3303213472917615,0.02708111060537096,1.5464938402291726,0.01354055530268548,0.30294262822137613,normal,normal
normal_i0.0_r24,normal,0.0,24,2,0.8618555468816631,0.558912918660287,2197,0.5235938989513823,1.0,0.0,0.35096540737369136,0.05182111970869367,1.5568158702701373,0.025910559854346836,0.30294262822137613,normal,normal
normal_i0.0_r25,normal,0.0,25,2,0.8615308790253255,0.5585882508039495,2197,0.5235938989513823,1.0,0.0,0.34219025944469733,0.05403186162949476,1.5524282963056404,0.02701593081474738,0.30294262822137613,normal,normal
normal_i0.0_r26,normal,0.0,26,2,0.8617505724338435,0.5588079442124674,2197,0.5235938989513823,1.0,0.0,0.34338416021847973,0.04649476558944015,1.5530252466925316,0.023247382794720075,0.30294262822137613,normal,normal
normal_i0.0_r27,normal,0.0,27,2,0.8615328515505858,0.5585902233292097,2197,0.5235938989513823,1.0,0.0,0.3413395539371871,0.05268138370505234,1.5520029435518854,0.02634069185252617,0.30294262822137613,normal,normal
normal_i0.0_r28,normal,0.0,28,2,0.8617657073818557,0.5588230791604795,2197,0.5235938989513823,1.0,0.0,0.3452435138825671,0.05052617205279927,1.5539549235245753,0.025263086026399637,0.30294262822137613,normal,normal
normal_i0.0_r29,normal,0.0,29,2,0.861712738650275,0.5587701104288989,2197,0.5235938989513823,1.0,0.0,0.34181975421028676,0.047441511151570324,1.5522430436884351,0.023720755575785162,0.30294262822137613,normal,normal
normal_i0.0_r30,normal,0.0,30,2,0.8617706428682492,0.558828014646873,2197,0.5235938989513823,1.0,0.0,0.34123122439690484,0.03814314974965863,1.551948778781744,0.019071574874829314,0.30294262822137613,normal,normal
normal_i0.0_r31,normal,0.0,31,2,0.8616906987207091,0.5587480704993331,2197,0.5235938989513823,1.0,0.0,0.3401192535275376,0.04529849795175239,1.5513927933470606,0.022649248975876196,0.30294262822137613,normal,normal
