run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary
dos_i2.0_r6,dos,2.0,6,4,10.048136504400583,9.897436745149394,18613,0.9030176596157579,1.0,0.003590141665049486,2.8571815519765735,1.9484919472913615,13.119999999999798,3.071858209427431,1.6891663911280235,0.04411195010891447,dos,attack
dos_i2.0_r7,dos,2.0,7,7,11.307612071559031,11.116185845666406,17015,0.8666972290138549,0.9992498124531133,0.013141809290953545,4.6834009009009,2.6739414414414417,5.610000000000337,8.064663319742278,5.980291830603076,0.05050514510340986,dos,attack
dos_i2.0_r8,dos,2.0,8,5,12.637191955021855,12.47016098619349,22656,0.9199658910951395,0.9503610108303249,0.08490680959922037,15.174643874643875,5.620598290598291,7.540000000000102,20.702342096528263,15.08384388618262,0.05845268976232458,dos,attack
dos_i2.0_r9,dos,2.0,9,8,9.790320505761642,9.53668736491621,17849,0.8225345622119815,0.9971181556195965,0.004377880184331797,2.453820809248555,1.8947919075144508,28.80000000000038,12.552120851712985,6.775344511586763,0.04943655657213707,dos,attack
dos_i2.0_r10,dos,2.0,10,7,11.58597174778578,11.403071337915872,27507,0.9026086956521739,0.8920289855072464,0.19901558654634946,29.910722989439478,7.195036555645816,14.140000000000263,15.596566363125895,7.996248454493109,0.06829022855058565,dos,attack
dos_i5.0_r1,dos,5.0,1,4,12.721254145893514,12.532240442493858,21554,0.9094514767932489,0.9862700228832952,0.012067510548523206,5.331446249033256,3.334477958236659,5.539999999999878,4.34469509133846,2.1521101453892877,0.059912487377987204,dos,attack
dos_i5.0_r2,dos,5.0,2,5,13.456632480624485,13.268854794873976,26647,0.9264332649584536,0.9629629629629629,0.04265897159545249,26.890297202797203,8.825611888111888,8.580000000000254,16.053104138315557,9.827390059553913,0.048665679134562774,dos,attack
dos_i5.0_r3,dos,5.0,3,5,10.47814016614288,10.273246403114463,17441,0.8801029419185548,0.9984387197501952,0.007619720442044709,6.009593432369039,3.5359655981235343,13.38000000000017,4.4998061305742905,2.6559662679469875,0.0570252222782444,dos,attack
dos_i5.0_r4,dos,5.0,4,6,13.39939589749398,13.182844665433334,29921,0.9111977342631787,0.9064191802010828,0.15622620824070407,40.13250853242321,8.370366894197952,12.459999999999916,23.471945368483684,8.459462224224222,0.04189795966267001,dos,attack
dos_i5.0_r5,dos,5.0,5,8,10.712889324487998,10.444664152946743,18170,0.8365946866798656,0.999407231772377,0.011326488328191905,4.089169632265717,1.8498042704626334,2.6199999999998447,3.9600035880436146,2.868151090746902,0.042459291043426904,dos,attack
dos_i5.0_r6,dos,5.0,6,4,10.075719372685928,9.899882833016848,18613,0.8992221846466013,0.9985358711566618,0.003333494371708778,2.325718475073314,1.7752712609970671,12.969999999999704,2.825151749388557,1.499896720822362,0.04411195010891447,dos,attack
dos_i5.0_r7,dos,5.0,7,7,11.428208020760247,11.211506115208325,17015,0.8628733708605913,1.0,0.005426238653075714,3.3682670667666916,2.4569842460615154,5.470000000000308,6.954333570569362,3.886504892249886,0.05050514510340986,dos,attack
dos_i5.0_r8,dos,5.0,8,5,12.36393312416522,12.170085571149285,22656,0.9167273610099539,0.9819494584837545,0.1045965849316177,25.15974264705882,6.585680147058824,7.580000000000364,22.55701246428651,12.74872398573093,0.05845268976232458,dos,attack
dos_i5.0_r9,dos,5.0,9,8,9.811819436802187,9.53262088337364,17849,0.8192500114747326,0.9971181556195965,0.0029834304860696746,3.1833815028901733,2.0226242774566474,38.6700000000002,4.36586052562784,3.468667945765086,0.04943655657213707,dos,attack
dos_i5.0_r10,dos,5.0,10,7,11.772246432958601,11.561749218141173,27507,0.9000392644460441,0.8920289855072464,0.1848701001243374,25.192445166531275,6.856547522339562,15.09000000000027,15.434080431659094,9.802725814057519,0.06829022855058565,dos,attack
dos_i10.0_r1,dos,10.0,1,4,12.762471276791281,12.530160649750108,21554,0.9039211574753617,0.9992372234935164,0.011323128538477669,7.712519083969466,3.539664122137405,5.460000000000242,5.248587947383381,2.3336946041615616,0.059912487377987204,dos,attack
dos_i10.0_r2,dos,10.0,2,5,13.391019003429584,13.16216241586798,26647,0.9217863567178636,0.968013468013468,0.050435865504358655,23.848000000000003,8.806434782608695,8.700000000000152,21.122046991759,11.559903330148765,0.048665679134562774,dos,attack
dos_i10.0_r3,dos,10.0,3,5,10.529205428442328,10.282500907256475,17441,0.8737100490932772,0.9960967993754879,0.007013325318104399,4.910289968652038,3.3151332288401254,11.67000000000007,6.545119539651243,3.198472721291076,0.0570252222782444,dos,attack
dos_i10.0_r4,dos,10.0,4,6,13.221324469783003,12.962881627514378,29921,0.9071918015887454,0.9211136890951276,0.16818264507913408,28.156087321578507,8.187665827036103,12.129999999999974,27.96031297517949,10.996111394957978,0.04189795966267001,dos,attack
dos_i10.0_r5,dos,10.0,5,8,10.750643195559507,10.431961321349126,18170,0.8310464690815953,0.998221695317131,0.0033388218075375044,3.9275593824228032,2.3467992874109265,2.54999999999983,5.532263404457029,3.750262522785486,0.042459291043426904,dos,attack
dos_i10.0_r6,dos,10.0,6,4,10.097218626185583,9.879472633075412,18613,0.892966800997889,0.9963396778916545,0.005421224333141432,3.008890521675239,2.2114401175606173,12.989999999999835,3.215504359028971,1.3528142989724667,0.04411195010891447,dos,attack
dos_i10.0_r7,dos,10.0,7,7,11.439810615536697,11.180568576953322,17015,0.8565747080144986,0.9977494373593399,0.0061921063229963755,4.274774436090226,2.91103007518797,5.470000000000308,5.061176613834083,4.1036813872770335,0.05050514510340986,dos,attack
dos_i10.0_r8,dos,10.0,8,5,12.572478410236588,12.34324606392947,22656,0.9113801842391086,0.9259927797833934,0.09437225954382719,11.398245614035089,5.242407407407407,8.329999999999949,18.222209037549455,11.011868769578525,0.05845268976232458,dos,attack
dos_i10.0_r9,dos,10.0,9,8,9.807097973555111,9.48579486667149,17849,0.8138336677001642,0.9959654178674352,0.0068393215393033014,3.1872858796296293,1.9963252314814817,27.1300000000001,5.332136137499843,4.162597009307941,0.04943655657213707,dos,attack
